Lines_of_Code,Cyclomatic_Complexity,Num_Functions,Code_Churn,Comment_Density,Num_Bugs,Has_Unit_Tests,Code_Owner_Experience,Quality_Label
356.0,31,144,69.56704674111288,0.4675606016072429,2,1,4,2
227.0,15,104,131.84442225798875,0.795643059788489,2,0,5,0
9674.0,47,141,118.7290267002287,0.3168389851110292,5,0,1,0
6967.0,42,107,194.3971546859065,0.9718826992263347,5,1,3,1
7954.0,35,114,69.2022927785319,0.5594174313719161,1,0,8,2
2305.0,38,120,164.29955877293872,0.3538601529447827,5,0,6,2
8613.0,22,26,54.9685517504471,0.3558556537466379,5,1,3,2
4479.0,5,149,88.06024679001001,0.1164699880335734,7,1,7,0
8167.0,48,165,68.07458775569572,0.723187801680661,1,1,6,1
6377.0,13,179,75.22791442230289,0.798353472408038,5,1,5,2
9808.0,32,92,92.1310175916464,0.1291849956313206,3,1,8,0
,3,147,172.0874183043652,0.6273410852178579,1,0,8,0
8410.0,15,37,122.83214573714208,0.8035054009933796,2,0,3,0
7181.0,27,19,161.70389152406418,0.438616043551902,3,1,8,0
2471.0,27,31,100.72878863600177,0.4894674245692207,4,1,9,1
5116.0,30,193,164.13676373338285,0.4254624099209262,1,1,3,1
6402.0,6,116,111.3504470953552,0.3840856467098266,4,1,8,0
6482.0,25,86,60.53723757817199,0.5420275512867287,2,0,8,2
6639.0,28,52,,0.2494905941199021,3,0,7,1
6552.0,22,12,174.19510740267654,0.4966189131086731,0,1,8,2
6492.0,4,138,131.91584834128378,0.9476426118449848,2,0,1,2
4896.0,15,195,141.54399802806557,0.1246618880174919,6,0,3,1
2541.0,26,122,163.95765434519103,0.2482690742677259,5,1,6,2
1117.0,18,88,86.4975832944504,,5,1,7,1
4601.0,9,6,64.10275938704217,0.2188513809223405,4,0,7,1
3147.0,4,154,118.13489055909676,0.3441528095524709,1,0,6,2
5894.0,48,122,186.32255959807665,0.5093550316399202,3,0,4,2
4350.0,5,25,115.0594823078062,0.948846031876994,2,0,5,0
6047.0,45,138,,0.2651510685732125,2,1,9,1
8485.0,6,127,103.7365019446717,0.9307761346038848,2,0,1,2
7491.0,12,100,114.72864623658704,0.7466720614415673,3,1,2,1
2546.0,31,17,73.59909392223345,0.7040304205688548,0,0,5,0
7223.0,47,5,,0.7511882716450289,4,0,5,0
1499.0,9,154,,0.1281219570724037,10,1,7,0
6395.0,7,121,24.87422914148321,0.1890102349625674,3,1,8,0
3787.0,29,156,24.94290778518433,0.4013573758662055,2,0,6,0
7964.0,14,68,12.306908405551738,0.1665707798338099,5,0,6,0
6227.0,20,173,173.7728599407528,0.9888307385458798,4,1,5,0
652.0,48,154,53.7603256503,0.6223709873306598,2,0,5,0
5643.0,32,65,117.58637212178294,0.5386093040286857,5,1,8,1
9021.0,22,112,189.2507944774985,0.8069606064091395,9,1,5,2
2660.0,36,16,116.62619114755007,0.9792632861307908,0,0,6,1
5208.0,44,94,125.71467255463476,0.9596170000762972,2,0,3,1
4366.0,18,136,57.84374137233687,0.8137583963098265,2,1,5,2
5045.0,40,87,116.66054881176818,0.4394568132647888,2,1,9,2
9085.0,49,132,50.24517710406941,0.159363542420116,9,1,3,0
5784.0,25,144,4.834427715547889,0.188539279956173,1,1,8,2
8416.0,31,37,102.61709591451856,0.1010371067151287,2,1,7,1
,35,153,116.04080804178406,0.1017125589023703,2,1,4,0
2651.0,26,132,,0.9427796190401156,1,0,5,1
3948.0,4,104,62.66876086345067,0.9343152722867492,3,0,8,2
3556.0,42,110,89.32844190550367,0.7007984197343219,3,1,7,1
2858.0,48,76,63.663176324583546,0.7540090517982723,3,0,2,1
3855.0,20,78,137.11007408850813,0.561887610985034,4,1,8,0
3742.0,34,100,122.34231654175277,0.3140580304794992,2,1,8,0
8219.0,12,96,181.4020585202668,0.9229465441979282,1,1,9,1
1760.0,16,78,82.22459169514093,0.349922320623415,5,0,2,2
